rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
11,EMA_N100_th5_bL3_sL-1,EMA,100,0.05,3.0,-1.0,0.23078282091123103,0.7292246694427105,0.686176341363986,0.3363316497512569,1.0271131957107793,0.3898762243610234,32,0.19943234319445002,0.6594537232406874,0.7141499884677167,0.27925834406628347,0.9138655059355578,0.39672187249828017,32,0.03135047771678101,0.9234375000000001,True,False,False,True,True,True,True,5
12,SMA_N200_th0_bL3_sL0,SMA,200,0.0,3.0,0.0,0.22091599334848122,0.7374833966879619,0.7028933266986126,0.314295192395824,1.0292027518410949,0.35890986134136654,236,0.18122983684623972,0.6398959293816694,0.7176196375838548,0.25254302886194746,0.8741544538896739,0.3676371167289103,236,0.0396861565022415,0.9234375,True,True,False,True,True,True,True,6
13,SMA_N100_th5_bL3_sL0,SMA,100,0.05,3.0,0.0,0.2258459211720405,0.7429501558942435,0.7362974648123558,0.3067319011204214,1.035101187140749,0.36453612355520876,43,0.19574791513483003,0.6700991355472582,0.7436390289848657,0.26322974925353715,0.9172246703771361,0.3718504728533637,43,0.030098006037210467,0.9197916666666667,True,True,False,True,True,True,True,6
14,SMA_N150_th5_bL3_sL-1,SMA,150,0.05,3.0,-1.0,0.2181594675168239,0.6989499392709329,0.6726198209544081,0.3243429062308459,0.9796186852305484,0.39520900593569513,31,0.1915091156433033,0.6403926313594479,0.6924593354478485,0.27656369961341437,0.8860421724078461,0.4007844011417975,31,0.026650351873520606,0.9145833333333334,True,False,False,True,True,True,True,5
15,EMA_N200_th0_bL3_sL0,EMA,200,0.0,3.0,0.0,0.20514185964960485,0.6947265210703871,0.6616901961453183,0.310027050188533,0.9656714070664922,0.36605854633295337,276,0.1664324709079672,0.6016186116487278,0.6850310419923816,0.24295610082706023,0.8206419193218089,0.3740019332312947,276,0.03870938874163765,0.9130208333333334,True,False,False,True,True,True,True,5
16,SMA_N200_th5_bL2_sL0,SMA,200,0.05,2.0,0.0,0.16908984229356006,0.7415693883296566,0.633011821543756,0.26711956481506555,1.0062298196133537,0.256485914866855,25,0.1508790977346397,0.6718090316267056,0.633011821543756,0.23835115332709533,0.8951818127336607,0.2624011350171341,25,0.018210744558920355,0.9130208333333334,True,False,False,True,True,True,True,5
17,SMA_N100_th5_bL2_sL0,SMA,100,0.05,2.0,0.0,0.1593247832514102,0.7306234937522958,0.5623616119448593,0.28331376087426163,1.0172104294440796,0.24308472474112008,43,0.13669485843957374,0.6396789099415984,0.5725117002889979,0.23876343203216915,0.8697870279216101,0.24971344356069966,43,0.022629924811836455,0.9125,True,False,False,True,True,True,True,5
18,EMA_N150_th5_bL2_sL-1,EMA,150,0.05,2.0,-1.0,0.16225232604098094,0.6730169893997732,0.501387878401682,0.32360639941716757,0.9432139322502232,0.2834850362548081,25,0.14139244415562002,0.6035708604554477,0.539195576869478,0.26222849411438437,0.8304206322043705,0.28926558522613,25,0.02085988188536092,0.9088541666666667,True,False,False,True,True,True,True,5
19,EMA_N200_th5_bL2_sL0,EMA,200,0.05,2.0,0.0,0.16755863557465478,0.7327583265921253,0.6364952410973886,0.2632519848628641,0.9925698597781185,0.25851738903238963,25,0.14990520509646132,0.6654784268828847,0.6364952410973886,0.2355166157063611,0.8852882703923548,0.26449686366404385,25,0.017653430478193455,0.9072916666666667,True,False,False,True,True,True,True,5
20,SMA_N200_th0_bL2_sL0,SMA,200,0.0,2.0,0.0,0.15284189042577512,0.7144597303184673,0.5417797151725168,0.28211076595421497,0.9957992752118963,0.23948917108678835,236,0.12415931366013844,0.59895000276905,0.5596177676985131,0.22186449542293243,0.8128076527992147,0.24690787167536157,236,0.02868257676563668,0.9067708333333333,True,False,False,True,True,True,True,5
