base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
16,EMA_N200_th2_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.1990730973781818,0.8178451564049821,0.3655658939961995,0.5445614611418083,1.129114162483068,0.26532136118495325,34,2,0.890277899004681,-0.0165106316703445,0.09550849265485872,5.784666181270696
16,EMA_N200_th2_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.1926908388784001,0.7748806862291714,0.3609207719002544,0.533886808076685,1.0631134524288435,0.27755006458422915,34,4,0.9145705034465808,-0.02289289017012619,0.10015361475080381,4.37487857612221
17,EMA_N150_th0_bL1_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.10760923912917919,0.8383020439967741,0.2649038112623092,0.40622004876564016,1.1619552574679575,0.1323972648431127,114,1,0.8941674545283933,-0.020404837523937625,-0.036391205430968465,-1.7834597010770938
17,EMA_N150_th0_bL1_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.10905505274562044,0.8175931556736195,0.2649038112623092,0.41167793028705624,1.1265980100602997,0.13834506857075282,114,2,0.9246063987733196,-0.018959023907496375,-0.036391205430968465,-1.9194661923802643
17,EMA_N150_th0_bL1_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.11247745373178142,0.87002964376716,0.2132651255023413,0.5274066890535584,1.2075242423360784,0.13264899606031327,114,0,0.9002061018713885,-0.015536622921335397,0.015247480328999446,0.9813896112559384
17,EMA_N150_th0_bL1_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.11392962205411661,0.8480645438850568,0.22851260583134075,0.49857040332473,1.170003960697884,0.1385857280356205,114,0,0.9306450461163148,-0.014084454599000207,0.0,0.0
18,EMA_N200_th2_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.22726371228948605,0.751263066479401,0.56321304397642,0.40351287087555604,1.0344130593733898,0.3594781608283208,59,25,0.8017351261560364,-0.06224352788013676,0.04786655846118182,0.7690206530927862
18,EMA_N200_th2_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.2422553978716957,0.7726433919955442,0.56321304397642,0.43013101429845113,1.0636742623823228,0.3707142139994367,57,25,0.8274998019855045,-0.047251842297927116,0.04786655846118182,1.0130093586484705
18,EMA_N200_th2_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.20305558602486284,0.6778900228613441,0.5935814876096888,0.3420854427966639,0.9258105616589686,0.3809533338708618,42,12,0.8232700686264619,-0.08645165414475997,0.01749811482791308,0.20240347048320395
18,EMA_N200_th2_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.20823160081492365,0.6785893676562242,0.5935814876096888,0.35080541620908323,0.9258339446599957,0.395438373709898,42,12,0.8682698985423003,-0.08127563935469917,0.01749811482791308,0.2152934749802295
19,SMA_N150_th0_bL3_sL-1,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1279460970392552,0.5104454374034539,0.6056840701871165,0.21124230161729082,0.7069744692600323,0.37334028906206246,82,23,0.8099567089047812,-0.16196636437988632,0.010018767079416402,0.061857084449446195
19,SMA_N150_th0_bL3_sL-1,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.22664864416224995,0.7268434864800121,0.5276850098988956,0.42951503247301986,1.0158549224792686,0.3825605076406423,84,23,0.8229790277780753,-0.06326381725689156,0.0880178273676373,1.3912822713531279
19,SMA_N150_th0_bL3_sL-1,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.19591178277302457,0.6590442188332617,0.6099611470087778,0.3211873145261255,0.9133164338284913,0.38455611073984053,74,9,0.8404863371302594,-0.09400067864611694,0.005741690257755061,0.06108137026723736
19,SMA_N150_th0_bL3_sL-1,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.167536222752257,0.589626067610507,0.6381090934901538,0.2625510660503416,0.8132089996625068,0.3989969929947179,72,11,0.8504438822616214,-0.12237623866688452,-0.022406256223620913,-0.18309319249966563
20,SMA_N150_th2_bL1_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.11361630399543343,0.8871124987800011,0.20460732979003443,0.55528951045901,1.2287667680259322,0.13100436580638444,36,1,0.8975304000992421,-0.012740585713826746,0.023258858239414842,1.8255721331691306
20,SMA_N150_th2_bL1_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.106533755729465,0.8123866210505293,0.22321485003543787,0.4772700190536228,1.1168365695760452,0.13603984700102437,38,3,0.9166135318002212,-0.019823133979795182,0.004651337994011406,0.23464190872907903
20,SMA_N150_th2_bL1_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.11293779792214553,0.8810704029644559,0.22786618802944927,0.495632102765284,1.2201896558909782,0.13124703438350183,36,0,0.9012375363364988,-0.013419091787114645,0.0,0.0
20,SMA_N150_th2_bL1_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.11377923924571243,0.8503940073839141,0.22786618802944927,0.4993248021115255,1.1710595762334575,0.137943315184709,36,0,0.9302516647234972,-0.012577650463547752,0.0,0.0
